index,salary_id,employer_name,location_name,location_state,location_country,job_title,job_title_category,job_title_rank,total_experience_years,employer_experience_years,annual_base_pay,signing_bonus,annual_bonus,stock_value_bonus,Total_Income
0,1,opower,"san francisco, ca",CA,US,systems engineer,Engineering,,13.0,2.0,125000.0,5000.0,0.0,5000 shares,130000.0
1,3,walmart,"bentonville, ar",AR,US,senior developer,Software,Senior,15.0,8.0,65000.0,0.0,5000.0,"3,000",70000.0
2,4,vertical knowledge,"cleveland, oh",OH,US,software engineer,Software,,4.0,1.0,86000.0,5000.0,6000.0,0.0,97000.0
5,14,casino,eastern oregon,OR,US,it technician,Other,,5.0,1.5,40000.0,0.0,500.0,0.0,40500.0
6,16,tetra tech,"madison, wi",WI,US,lead interviewer,Other,,4.0,2.5,45000.0,0.0,1500.0,,46500.0
7,17,knewton,new york city,NY,US,senior software engineer,Software,Senior,8.0,2.0,135000.0,0.0,0.0,,135000.0
10,24,pensco trust company,"denver, co",CO,US,senior software engineer,Software,Senior,10.0,1.5,120000.0,0.0,6000.0,0.0,126000.0
12,30,purdue,"west lafayette, in",IN,US,web developer,Web,,2.0,1.5,60000.0,0.0,0.0,,60000.0
17,39,magento commerce,"charleston, sc",SC,US,member of technical staff,Other,,19.0,1.0,131000.0,0.0,0.0,80000.0,131000.0
18,40,oracle,"bala cynwyd, pa",PA,US,student intern co-op,Other,Intern,0.0,0.0,24.0,0.0,0.0,$0,24.0
20,46,small consulting shop,"durham, nc",NC,US,developer,Software,,10.0,3.5,150000.0,0.0,0.0,,150000.0
22,48,nbc universal,new york,NY,US,senior analyst,Data,Senior,2.0,1.5,55000.0,0.0,0.0,0.0,55000.0
26,59,quick left,boulder co,CO,US,senior developer,Software,Senior,6.0,1.0,120000.0,0.0,0.0,500.0,120000.0
29,64,rei systems,"sterling, va",VA,US,associate software engineer,Software,,1.0,1.0,55000.0,0.0,0.0,,55000.0
30,69,mitsubishi hitachi power systems america,"orlando, florida",FL,US,steam turbine service engineer,Engineering,,4.0,1.0,80001.0,10000.0,0.0,,90001.0
